Nom de fichier	Chemin	voyageId	Pays	Ville	Lieu	Date Événement	datePage	Légende
0037_3.22.jpg	D:\TDM\0001_jordanie20010205\0004_avant Kerak\2001-02-07\0037_3.22.jpg	jordanie20010205	Jordanie	avant Kerak	-	07/02/2001	-	Famille de bédouins, amis de Khaled, croisés sur la route
0038_3.21.jpg	D:\TDM\0001_jordanie20010205\0004_avant Kerak\2001-02-07\0038_3.21.jpg	jordanie20010205	Jordanie	avant Kerak	-	07/02/2001	-	Famille de bédouins, amis de Khaled, croisés sur la route
0039_3.20.jpg	D:\TDM\0001_jordanie20010205\0004_avant Kerak\2001-02-07\0039_3.20.jpg	jordanie20010205	Jordanie	avant Kerak	-	07/02/2001	-	Famille de bédouins, amis de Khaled, croisés sur la route
0040_3.19.jpg	D:\TDM\0001_jordanie20010205\0004_avant Kerak\2001-02-07\0040_3.19.jpg	jordanie20010205	Jordanie	avant Kerak	-	07/02/2001	-	Famille de bédouins, amis de Khaled, croisés sur la route
0041_3.18.jpg	D:\TDM\0001_jordanie20010205\0004_avant Kerak\2001-02-07\0041_3.18.jpg	jordanie20010205	Jordanie	avant Kerak	-	07/02/2001	-	Tente de bédouins etenclos
0042_3.17.jpg	D:\TDM\0001_jordanie20010205\0004_avant Kerak\2001-02-07\0042_3.17.jpg	jordanie20010205	Jordanie	avant Kerak	-	07/02/2001	-	Famille de bédouins, amis de Khaled
0043_3.16.jpg	D:\TDM\0001_jordanie20010205\0004_avant Kerak\2001-02-07\0043_3.16.jpg	jordanie20010205	Jordanie	avant Kerak	-	07/02/2001	-	Sacs de grains donnés par le gouvernement aux bédouins pour les moutons
0044_3.15.jpg	D:\TDM\0001_jordanie20010205\0004_avant Kerak\2001-02-07\0044_3.15.jpg	jordanie20010205	Jordanie	avant Kerak	-	07/02/2001	-	Bédouins, amis de Khaled
0045_3.14.jpg	D:\TDM\0001_jordanie20010205\0004_avant Kerak\2001-02-07\0045_3.14.jpg	jordanie20010205	Jordanie	avant Kerak	-	07/02/2001	-	Bédouins, amis de Khaled
0046_3.13.jpg	D:\TDM\0001_jordanie20010205\0004_avant Kerak\2001-02-07\0046_3.13.jpg	jordanie20010205	Jordanie	avant Kerak	-	07/02/2001	-	Voiture de Khaled
0047_3.12.jpg	D:\TDM\0001_jordanie20010205\0004_avant Kerak\2001-02-07\0047_3.12.jpg	jordanie20010205	Jordanie	avant Kerak	-	07/02/2001	-	Chez les bédouins
